,name,category,moreInfoURL,logoURL,id,description,membership,meetingDetails,websiteURL
94,Catholic Student Organization,Religious/Spiritual,https://orgsync.com/137015,https://cdn1.orgsync.com/images/os-profile-pics/d8yks5v0pq4f7lm_150.jpg?cover=1&s=100,137015,"The Catholic Student Organization at Georgia Tech is the student group that works in collaboration with the Georgia Tech Catholic Center. Organized into five main pillars (administration, liturgy, faith formation, outreach, and community life), this student-led organization seeks to bring students and staff closer to their faith through planning liturgical events, educational classes, outreach events, and community-building events and is open to all students on campus (undergraduate and graduate). Additionally, there are MANY opportunities for leadership due to the shear number of events and projects that the organization offers.
Catholic Center Mission Statement: In collaboration with the Georgia Institute of Technology and the Archdiocese of Atlanta, the Georgia Tech Catholic Center provides an authentic Catholic home for the family of God. We serve all students, alumni, parents, faculty, and staff of the Georgia Tech community in order to integrate Christ into their lives, their lives into the Church, and the Church into Georgia Tech.",Any undergraduate and graduate students can become members simply by requesting to join the organization! There are no additional membership requirements.,,http://www.gtcatholic.org
95,Center for Academic Enrichment,Academic,https://orgsync.com/177086,https://cdn2.orgsync.com/images/os-profile-pics/4ee42af6-5365-4ad5-843d-605ff298124b.jpg?cover=1&s=100,177086,"The Center for Academic Enrichment fosters growth by giving students the opportunity to engage with one another and faculty in research and innovation programs, academic seminars, fellowships, campus-wide reading programs, discussion groups, living-learning communities, and other events in which they can share ideas, explore possibilities, and take initiative. We encourage you to take advantage of these opportunities to make the most of your academic experience at Tech.",,,http://www.cae.gatech.edu
96,Chabad Jewish Student Group at Georgia Tech,Religious/Spiritual,https://orgsync.com/136469,https://cdn4.orgsync.com/images/os-profile-pics/1lovd9hoks71tmg_150.jpg?cover=1&s=100,136469,"Chabad strives to be the go-to place for all Jews in Georgia Tech. It provides a warm and vibrant environment for students to experience and learn about jewish tradition and culture, and of course, to simply socialise with other Jews!",All Jewish Georgia Tech students are welcome,"Sunday, To Be Determined",http://www.chabadgatech.com
97,Chamber Choir,Production/Performance/Publication,https://orgsync.com/136076,https://cdn2.orgsync.com/images/os-profile-pics/q1tly27iqootra9_150.jpg?cover=1&s=100,136076,"The Georgia Tech Chamber Choir is Tech's select, mixed vocal ensemble. Founded in 1998, the choir has established itself as one of the premiere college vocal ensembles in the Southern United States. Singers are selected through audition, and the Chamber Choir attracts the finest choral musicians on the Tech campus. Its members are all-state-level singers who have extensive background in ensemble singing. The Chamber Choir performs challenging literature with a special emphasis on Baroque and modern works using extended vocal technique.","Joining chamber choir requires an audition consisting of; tonal memory, an interview, and a short theory test. Auditions are held the first week of classes. For questions, please email chamberchoirofficers@lists.gatech.edu.","Tuesday, Thursday",http://chamberchoir.gatech.edu
98,Chi Alpha,Religious/Spiritual,https://orgsync.com/136255,https://cdn4.orgsync.com/images/os-profile-pics/368lpsvoi7k7g1k_150.jpg?cover=1&s=100,136255,"Our goal is to connect college students to God, each other and the world by Inspiring them through Faith, Hope and Love. We do this by way of prayer, worship, fellowship, discipleship, and mission.","All meetings and activities of Chi Alpha are open to all regularly enrolled students,
faculty and staff. Anyone who desires to participate in the meetings and activities may become a general member.","Tuesday, Thursday",https://www.chialphaatlanta.com/
99,Chi Epsilon,Honor Society,https://orgsync.com/136441,https://cdn4.orgsync.com/images/os-profile-pics/yb1oltdrtu9dh9z_150.jpg?cover=1&s=100,136441,"Chi Epsilon is an elite Civil and Environmental Engineering Honor Society. It is an invitation-only organization and membership is extended to students who rank in the upper 30% of their respective Junior, Senior, and Graduate class of the department.","This organization is only for Juniors, Seniors and Graduate students of Civil and Environmental Engineering. Potential members are invited only if they rank within the top 30% of their respective class. They becomes members after finishing a list of requirements and attending initiation.",Thursday,https://chiepsilongatech.com/
100,Chi Phi,Interfraternity Council (IFC) Chapters,https://orgsync.com/139654,https://cdn4.orgsync.com/images/os-profile-pics/6no3bfjyg0fhf5y_150.jpg?cover=1&s=100,139654,"The Chi Phi Fraternity is one of the oldest social fraternities in the country, and dates back to 1824 when three separate organizations bearing the name ""Chi Phi"" existed across the country, all with no knowledge of the others. In 1904, the Omega Chapter of the Chi Phi Fraternity was chartered at the Georgia Institute of Technology, and in 1924, the Omega Chapter officially got a new house located at 720 Fowler Street NW in Atlanta, GA. The chapter has been going strong ever since and currently has 55 active brothers, 12 new members and an upcoming renovation to the house in Spring 2019.",,Wednesday,http://www.gtchiphi.org
101,Chi Psi,Interfraternity Council (IFC) Chapters,https://orgsync.com/136124,https://cdn1.orgsync.com/images/os-profile-pics/c1ggn1t83956kv3_150.jpg?cover=1&s=100,136124,A fraternity of gentlemen in pursuit of excellence.,,Wednesday,https://www.facebook.com/gtchipsi/
102,China Care Club,Community Service,https://orgsync.com/136055,https://cdn1.orgsync.com/images/os-profile-pics/fskfnpryhpu1is7_150.jpg?cover=1&s=100,136055,"We are a student organization dedicated to helping the OneSky Foundation (previously known as Half the Sky) raise funds for medically fragile orphans in China. We also volunteer with adopted Chinese children in Atlanta in order to help them connect with their Chinese culture. This all takes place at our monthly, on-campus playgroups, where we do arts and crafts, play games, and many other fun activities with the kids! We also try to have monthly social events throughout the year for our members to connect with one another. We host at least one major cultural event each semester (Cure Your Cravings, China Care Carnival) for the entire campus community in order to promote our cause. If you care for kids and want to help Chinese orphans, join China Care! :)","Interested in joining our club? Member dues are $20, and it includes a free & adorable China Care T-shirt! It is recommended to come to our Fall General Meeting at the beginning of the semester to meet the officers in person and learn more about our club! Please also email us at chinacare.gt@gmail.com and request to be added to our mailing list with your GT email. We send out weekly Newsletters detailing upcoming China Care events. Feel free to email us if you have further questions.",,https://chinacaregt.wixsite.com/home
103,Chinese Christian Fellowship,Religious/Spiritual,https://orgsync.com/176702,https://cdn1.orgsync.com/images/os-profile-pics/23c3bbba-f5a4-4c32-b66c-92f98339212b.png?cover=1&s=100,176702,"In response to God's love, grace and truth: 
The Purpose of the Chapter is to establish and advance at Georgia Institute of Technology witnessing communities of students and faculty who follow Jesus as Savior and Lord: growing in love for God, God's Word, God's people of every ethnicity and culture and God's purposes in the world. 
We serve God within and without the Chinese speaking community, as we are mainly consisted of Chinese speaking faculty, staff, student and visiting scholar from Georgia Institute of Technology.",Every students who have interested in the Gods and Bible can join and attend our activity.,"Thursday, Friday",
104,Chinese Civil and Environmental Students Association,Professional/Departmental,https://orgsync.com/171917,https://cdn0.orgsync.com/images/os-profile-pics/695b3d19-d227-4c2e-876a-5606569b47fa.png?cover=1&s=100,171917,"CCESA is an organization aiming to provide platform for communication and mutual assistance among Chinese students in Civil and Environmental Engineering. We organize social and networking activities to enrich Civil and Environmental students' campus life, and share academic and career resources.","Welcome to the official page for the Chinese Civil and Environmental Students Association (CCESA) at Georgia Tech!
In order to join CCESA, please submit application in OrgSync portal, or send an email to Annie Yu Meng (ymeng43@gatech.edu) for more information.
Thank you!",,
105,Chinese Student Association,Cultural,https://orgsync.com/136126,https://cdn1.orgsync.com/images/os-profile-pics/f10ajm5umutfnzi_150.jpg?cover=1&s=100,136126,"We, the Chinese Student Association, are committed to creating an atmosphere where Chinese, Chinese-Americans, and all those interested in Chinese culture can come together. From organizing small get-togethers to large-scale events integrated with college and community life, CSA allows students to meet others to whom they can relate in various community, cultural, and social settings. As an awareness and promoting organization, CSA also addresses and discusses issues concerning Chinese and Chinese-Americans as students and as a community. While Chinese Student Association is devoted to Chinese culture and community within the university, it welcomes and encourages people of all ages, races, and backgrounds to participate in, contribute to, and become part of CSA.","If you are interested, please follow us on our Facebook page at https://www.facebook.com/gatechcsa/ and attend one of our upcoming events or email us at csa.gatech@gmail.com! Dues are $20 for a semester and $30 for the school year.",,http://www.csa.gtorg.gatech.edu
106,Chinese Students and Scholars Association,Cultural,https://orgsync.com/137551,https://cdn1.orgsync.com/images/os-profile-pics/5bd9d5ba-09ab-416a-832a-5c15458829a8.png?cover=1&s=100,137551,"GT CSSA is the largest Chineses students' and scholars' organization in Georgia Tech, as well as the only student association type organization on campus authorized by Chinese consulate.
------------------------------------------------------------------------------------------
佐治亚理工中国学生学者联谊会是佐治亚理工学院最大的华人学生学者团体，同时也是本校唯一获得中国领馆官方认可并直接支持的学生会性质团体。","The department of internal relations is responsible for affairs related to accepting new members. If you're interested, you can email ycai309@gatech.edu for more information. Application material will be required and interview may be conducted.",Friday,http://www.gtcssa.com
107,Chorale,Production/Performance/Publication,https://orgsync.com/135867,https://cdn4.orgsync.com/images/os-profile-pics/ct2djqu6d15img4_150.jpg?cover=1&s=100,135867,"Chorale is the Georgia Tech non-auditioned mixed choral ensemble that is open to any member of the GT community. The group rehearses music from all time periods, culminating in two-three concerts throughout the semester. We have also participated in musical events in the Atlanta area, which have allowed us to work with several renowned musicians and composers.","Students can join Chorale as a class or a club. To join as a class, register for MUSI 3241 - Chorale (CRN 91080). To join as a club, either contact the officers (choraleofficers@lists.gatech.edu), or simply show up fifteen minutes prior to rehearsal and speak to an officer! There is no audition process.","Monday, Wednesday",http://126323.orgsync.com/org/choralegt
108,Christian Campus Fellowship,Religious/Spiritual,https://orgsync.com/137552,https://cdn4.orgsync.com/images/os-profile-pics/96108f8d-597f-467d-b7ad-d0b06eebff9b.jpg?cover=1&s=100,137552,http://www.gtccf.org/about/,"Everyone is welcome! There are no requirements and no technical ""membership"". Feel free to come to any events! The house is open during the week for any students to come by, study, get free coffee, and hang out.","Monday, Tuesday, Thursday",http://www.gtccf.org/
109,Christian Students,Religious/Spiritual,https://orgsync.com/136135,https://cdn3.orgsync.com/images/os-profile-pics/3b59dc28-b34a-45f3-8489-4d32ef1172cd.jpg?cover=1&s=100,136135,"Christian Students at Georgia Tech is a student group composed of believers in Christ from various backgrounds, and we stand absolutely for the faith common to all Christians. We love the Lord Jesus Christ, endeavor to give Him “the first place in all things” (Col. 1:18), and have the utmost respect for His Word. We meet simply as Christians without any denominational affiliation because we treasure the testimony of the oneness of the Body of Christ, and our desire is to cooperate with Him for the accomplishment of God's eternal purpose (Eph. 3:11) by ministering the unsearchable riches of Christ (Eph. 3:18) for the building up of the Body of Christ (Eph. 4:12).",Christian Students is an open organization. Any student can come to bible study's and our conferences.,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, To Be Determined",http://www.gtchristianstudents.org
110,Circle K,Community Service,https://orgsync.com/136029,https://cdn3.orgsync.com/images/os-profile-pics/xfec59ovz4hlfa1_150.jpg?cover=1&s=100,136029,"Sponsored by Kiwanis International, Circle K is the premiere service and leadership development organization for college students across the world. As the Georgia Tech branch of the organization, GT Circle K is involved in several on and off campus volunteer projects throughout the year. 
Our club also coordinates activities with other Circle K clubs in the Georgia District, and is involved with service initiatives sponsored by Circle K International. Leadership opportunities are available at the club, district, and international levels. Members can earn scholarships, attend district and international conventions, and much more!
Meetings are held biweekly with service projects occurring multiple times a week. We hope to see you there!
Live to Serve, Love to Serve.","Students may join Circle K at any time they like. We do not have minimum volunteer requirements, as we prefer to have members attend that projects that they're truly passionate about. Membership fees are $20 per semester or $35 per year, and come with a club t-shirt, plus many other perks such as carpooling to all events, scholarship opportunities, and opportunities to meet other Circle K's in the state of GA and internationally as well.",,http://gtcirclek.weebly.com/
111,Civic Engagement,Campus Office/Department,https://orgsync.com/168042,https://cdn4.orgsync.com/images/os-profile-pics/0404db12-f689-4380-89b5-1a46ff846c6f.jpg?cover=1&s=100,168042,"As a department of the Division of Student Life, Civic Engagement applies a student centered approach for students to develop and clarify identity, to understand others, and to promote social change.  Broadly defined, civic engagement encompasses the numerous ways in which students, faculty, and staff promote positive social change. Opportunities to engage with community partners exist in co-curricular settings, academic based community service courses, and departmental sponsored outreach programs.
Opportunities exist on a spectrum of service and participants are encouraged to match their interests and availability to the community need as appropriate along this spectrum. Projects range from direct service to awareness/advocacy to philanthropy. The frequency of service experiences includes options such as one-day service projects, on-going commitments, immersion trips, and semester-long courses with academic-based community service embedded in the curriculum. The types of issues addressed also vary as does the location of the projects available. 
Civic Engagement at Georgia Tech engages with communities on a local, national, and global scale. Whether you are a student, faculty or staff member, or community partner, Civic Engagement is ready to support your engagement with community service at Georgia Tech. For more information, visit civic-engagement.gatech.edu and check back often as we continue to expand our OrgSync portal.","Visit the ""Events"" tab to see upcoming service opportunities",,http://www.civic-engagement.gatech.edu
112,Climbing Club,Competitive Sports,https://orgsync.com/136057,https://cdn0.orgsync.com/images/os-profile-pics/aspof3lcujs03p7_150.jpg?cover=1&s=100,136057,"The Climbing Club was founded in 2010 to bring together the GT climbing community. This includes everyone from those who would like to try climbing, to those who have been climbing for years. Our focus is spreading the joy of climbing and encouraging growth in physical as well as mental ability with the intention of competing at the collegiate level and beyond.",No experience required to join. Must pay dues each semester to participate.,Thursday,https://www.facebook.com/GT-Climbing-Club-235355733170767/?ref=bookmarks
113,Club Math,Professional/Departmental,https://orgsync.com/136077,https://cdn1.orgsync.com/images/os-profile-pics/pxgu4hkwm8vgzn9_150.jpg?cover=1&s=100,136077,"Club Math is a social organization for students at Georgia Tech with an interest in mathematics. We meet weekly to discuss problems and puzzles, play games and learn about interesting topics beyond the scope of what is taught in the classroom. 
We are most active on our Facebook page: https://www.facebook.com/groups/ClubMath.gatech/about/",All students and faculty are welcome! The only requirement is that you are interested in math. Just sign in with our Treasuremeister (Courtney Morse) at a meeting.,Wednesday,https://math.gatech.edu/about-club-math
114,Club Tennis,Recreation/Leisure,https://orgsync.com/136078,https://cdn0.orgsync.com/images/os-profile-pics/0haw7uyqply3ohj_150.jpg?cover=1&s=100,136078,"GT Club Tennis is a competitive team comprised of players with experience ranging from high school to NCAA Division I. The season is comprised of weekly practices and competitions at regional, sectional, and national tournaments organized by USTA. Social and team bonding events such as team dinners, volunteering, and beach weekends are also an integral part of club tennis that creates a fun environment both on and off the court.
Past Achievements: USTA 2017 Southern Sectional champions, top 10 in the nation, and qualifying for Nationals for the past four years. Tryouts are held at the beginning of every Fall and Spring semester. For more information about the club or tryouts, check out the posted link to the ""Georgia Tech Club Tennis"" Facebook page or email techtennisclub@gmail.com",Open tryouts will be held at the beginning of each Fall and Spring Semesters for the Men's and Women's team.  Please bring your own tennis racquet and shoes.,"Monday, Tuesday, Thursday",https://www.facebook.com/GeorgiaTechTennisClub/?fref=ts
115,College Democrats,Political,https://orgsync.com/136465,https://cdn4.orgsync.com/images/os-profile-pics/hatlgrkab26a41d_150.jpg?cover=1&s=100,136465,"College Democrats of Georgia Tech (CDGT) is dedicated to promoting a progressive message on Georgia Tech's campus. We have general meetings once every two weeks, and we spend them listening to and having discussions with speakers, talking about politics, and planning events throughout campus. 
Our discussions with special guests allow CDGT members to get to know state and local officials through listening to them speak and asking questions. In the past, we have hosted former gubernatorial candidate Jason Carter, Atlanta Mayor Kasim Reed, Representative and former GT quarterback Taylor Bennett, and many other officials. 
Other events have included but are not limited to: a rally against campus carry at the State Capitol, a debate with College Republicans, and a Planned Parenthood volunteer day.","To become members, all students should like us on Facebook and attend a general meeting of College Democrats of Georgia Tech. We will then sign you up for our mailing list to keep you informed. 
If you are interested, then feel free to check us out at one of our events! We have many members that cannot make general meetings but still participate in our events. We welcome all interested students.",,https://www.facebook.com/CDGaTech/
116,College Diabetes Network at Georgia Tech,Recreation/Leisure,https://orgsync.com/136136,https://cdn3.orgsync.com/images/os-profile-pics/yt3aam244uzllm4_150.jpg?cover=1&s=100,136136,"The College Diabetes Network at Georgia Tech serves to connect students with Type 1 and Type 2 diabetes and students who are otherwise affected by diabetes. We raise awareness about diabetes, and serve, empower, and advocate for the diabetes community.","Anyone is welcome to join! Simply contact any of the current members, come to a meeting or event, and join our social media!",Tuesday,https://www.collegediabetesnetwork.org/find-school/georgia-tech
117,College Republicans at Georgia Tech,Political,https://orgsync.com/137582,https://orgsync.com/assets/icons/portals/no_org_profile_150.png,137582,"We are a conservative political group on campus. We meet bi-weekly to have political speakers, as well as debate hot topic political and social issues.",Contact us through social media or attend meetings.,Monday,https://www.facebook.com/GTCRs/
118,Collegiate Panhellenic Council,Greek Governing Councils,https://orgsync.com/136866,https://cdn3.orgsync.com/images/os-profile-pics/a74e6349-02f1-4f64-a26b-2188d3589d19.jpg?cover=1&s=100,136866,"The Collegiate Panhellenic Council is made up of 8 NPC sororities (ΑΧΩ, ΑΞΔ, AΔΠ,ΦΜ, ΖΤΑ, ΑΦ, ΑΓΔ, KAΘ) and 2 associate sororities (ΑΔΧ, ΑΩΕ). Sorority chapters of CPC work to grow and develop women during their collegiate years by providing academic support, philanthropic opportunity, and value-based networks of women. The Collegiate Panhellenic Council supports the Circle of Sisterhood Foundation, working to bring educational services and school building to girls living in third world countries. CPC works closely with the 3 other Greek councils: IFC, MGC, and NPHC.",,Monday,https://www.gatechcpc.com/
119,Competitive Sports Office,Campus Office/Department,https://orgsync.com/149803,https://cdn2.orgsync.com/images/os-profile-pics/0c847ca5-685c-41ce-9dab-052d8a4ca0af.jpg?cover=1&s=100,149803,"Competitive Sports provide students, faculty, and staff the opportunity for competition and fun in a variety of team and individual sport activities at various levels. Intramural Sports are available for Men's, Women's, and Co-Rec teams in a variety of skill and competition levels. Sport Clubs are student-led organizations in over 44 sports that compete on the collegiate level.","We hire student managers through the CRC application process on a need-based schedule. If you are interested in becoming an intramural official, you must attend our referee training sessions at the beginning of each intramural phase.",,https://crc.gatech.edu/sports
120,Computational Finance Club,Professional/Departmental,https://orgsync.com/147359,https://cdn2.orgsync.com/images/os-profile-pics/9l9u3d2h4ogof1t_150.jpg?cover=1&s=100,147359,"This club is designed to:
Create an environment for all students to share their passion for the financial sector
Create opportunities for students with a passion for finance to apply their classroom knowledge
Raise awareness of the various types of quantitative roles within finance through alumni and other professional connections","Members can join by attending meetings and paying all dues, even if $0.",Wednesday,http://126323.orgsync.com/org/computationalfinanceclub147359
121,Construction Engineering Association,Professional/Departmental,https://orgsync.com/146375,https://cdn3.orgsync.com/images/os-profile-pics/ef6e25e1-10ba-4b48-9f86-0ce0826687da.png?cover=1&s=100,146375,"The Construction Engineering Association is an organization for all engineering majors with a vocational interest in construction. The focus of this organization is to provide a unique identity to all of these students, referred to as construction engineers, and support their professional growth. This organization will provide opportunities for industry-focused training and networking through the support of local corporations.
In addition to becoming a member of the Construction Engineering Association, each student member is given the opportunity to become a member of the AGC Student Chapter at Georgia Tech and AGC's Young Leadership Program.","To become a member of the Construction Engineering Association, interested students can request membership through OrgSync or contact one of our officers.",Thursday,
122,Consult Your Community,Community Service,https://orgsync.com/136039,https://cdn3.orgsync.com/images/os-profile-pics/2ng0tlw60x6g5lc_150.jpg?cover=1&s=100,136039,"Consult Your Community (CYC) is a student-run national organization that provides pro bono consulting services for low-income or minority small business owners across America. The Georgia Tech chapter provides small business owners in the Atlanta area with the necessary resources and recommendations in marketing, finance, accounting, technology, and operations to help revitalize, strengthen, and grow their business. Throughout the semester, CYC Analysts get training, guidance, and support from the best consulting firms and business school faculty to identify and execute strategies for the business.","CYC recruitment occurs at the beginning of each Fall and Spring semester. A short application is required to join, followed by an interview. Please contact our executive team at cyc.gatech@gmail.com with any questions.","Monday, Thursday",http://cyc.gtorg.gatech.edu
123,Cordao de Ouro Capoeira,Cultural,https://orgsync.com/136389,https://cdn2.orgsync.com/images/os-profile-pics/k2etpm0a8weipht_150.jpg?cover=1&s=100,136389,"Capoeira is an Afro-Brazilian martial art. Portugal shipped slaves into South America from Western Africa and Brazil was the largest contributor to slave migration. These people brought their cultural traditions and religion with them to the New World. The homogenization of the African people under the oppression of slavery was the catalyst for Capoeira. Capoeira was developed by the slaves of Brazil as a way to resist their oppressors, secretly practice their art, transmit their culture, and lift their spirits. Some historians believe that the indigenous peoples of Brazil also played an important role in the development of Capoeira. At Georgia Tech, we train Monday and Wednesday from 6 - 7 PM at the CRC (Studio A) under Mestre Muriel, a native of Sao Paulo, Brazil with over 20 years of experience. We hope to build the Capoeira community at GA Tech and bring international events to the campus. 1st class is free so come and try it out. Get in great shape, meet new people, learn how to play the musical instruments that are a part of the martial art, speak some Portuguese, gain insight into Brazilian culture, and have fun doing it!",Student can become members by signing up on the membership roster and paying $20 dues (per semester).,"Monday, Wednesday",http://www.cdoatlanta.org/index.html
124,CREATE-X,Academic,https://orgsync.com/178387,https://cdn3.orgsync.com/images/os-profile-pics/4803734e-f1a3-4869-a0d3-f4a91587c7a4.png?cover=1&s=100,178387,,,,http://create-x.gatech.edu
125,Cricket Club,Recreation/Leisure,https://orgsync.com/137516,https://orgsync.com/assets/icons/portals/no_org_profile_150.png,137516,The Georgia Tech Cricket Club aims to promote the game of cricket within the Georgia Tech Community. The club participates in the annual American College Cricket Championship and other regional tournaments.,Students are encouraged to reach out to one of the officers at the practice sessions and state their interest. We don't have a formal application process.,Friday,http://126323.orgsync.com/org/cricketclub137516
126,CRU,Religious/Spiritual,https://orgsync.com/136381,https://cdn4.orgsync.com/images/os-profile-pics/ps9olthxd5if0x0_150.jpg?cover=1&s=100,136381,"We are a caring and supportive community passionate about connecting students to Jesus. Our vision is to develop spiritual leaders to truly know and follow Jesus Christ at Georgia Tech, in Atlanta, and throughout the world.",Anyone can become a member. We welcome those who are curious to learn more about Christianity and Jesus as well as those who are looking to develop a stronger relationship with Christ. To become a member simply speak to another member about joining and we can get you connected so you can know when all our events and meetings take place.,Thursday,http://www.gtcru.org/
127,CS + Social Good at Georgia Tech,Community Service,https://orgsync.com/171813,https://cdn1.orgsync.com/images/os-profile-pics/a16518ec-faa7-4478-8b7b-69d4cb92bd22.JPG?cover=1&s=100,171813,"Georgia Tech's CS+Social Good is an organization that focuses on the intersection of computer science and social impact. Striving to build a community of passionate computer scientists and engineers who are applying their technical knowledge towards solving the world's biggest problems, CS+Social Good is changing the way students understand the value behind a computer science education and its applications worldwide.",Membership will take effect when an interested party is accepted on the Leadership Team and signs the membership roster. Applications will be released over summers for the fall semester and over winter break for the spring semesters.,,https://gtcssg.wixsite.com/index
128,Cycling,Competitive Sports,https://orgsync.com/135799,https://cdn2.orgsync.com/images/os-profile-pics/9ecwv2ja1wtwxnh_150.jpg?cover=1&s=100,135799,"The Georgia Tech Cycling Team competes in collegiate bicycle racing in the Southeastern Collegiate Cycling Conference (SECCC) We compete in: road, track, cyclocross and mountain bike events. There are usually 6 races per season in each discipline except track. The races are held by schools in the conference and take place throughout the Southeast in Georgia, Florida, South Carolina, North Carolina, Kentucky, and Tennessee.
Collegiate racing is divided into A, B, C, and D classes, which correspond to expert, experienced and beginner for mountain and road; anyone can participate.
Meetings weekly on Tuesday @ 7:30pm in the CRC room 251.","The only requirements for new members are an interest in cycling and $155/year Race dues or $45/semester Rec dues. Race dues cover a jersey and cycling bib shorts, a USA Cycling collegiate race license, race entry fees, transportation and hotels for all of our events. We now also offer Rec dues for those who are new to racing and just want to try it out. Rec dues are $45 per semester and includes entry into 1 home race weekend, a one-day collegiate license for the race weekend you choose, access to coached skills clinics, and a team t-shirt.",Tuesday,http://www.gtcycling.com
129,D.R.E.A.M. (Designing with Real Engineers And Mentors),Community Service,https://orgsync.com/154599,https://cdn1.orgsync.com/images/os-profile-pics/u18rj1a6tmve7ce_150.jpg?cover=1&s=100,154599,The purpose of D.R.E.A.M. is to increase the number of under-represented students in STEM degrees and STEM careers through mentoring and engineering competitions.,If GA Tech students wish to become members of D.R.E.A.M. they can contact members of the D.R.E.A.M. club (Myela Paige - mpaige@gatech.edu) and go through the required background check and paperwork to begin working with the students.,"Monday, Tuesday",http://dream.rice.edu/
130,Dance Association,Recreation/Leisure,https://orgsync.com/142410,https://cdn1.orgsync.com/images/os-profile-pics/qknxfqgy6l124c0_150.jpg?cover=1&s=100,142410,"The Georgia Tech Dance Association (GTDA) was formed in 1999 to give students at Georgia Tech and people in the Atlanta Community a place to do what they love most – dance! We offer a wonderful environment of dancing for everyone on our 5,000 sq ft floor in the heart of midtown Atlanta and walking distance to all students on campus. With monthly dances(often with live bands!) and weekly dance classes, we are proud to bring Swing Dancing to Georgia Tech!",Interested in becoming a member? Please email: gtda.board@gmail.com,Thursday,http://www.gtda.gtorg.gatech.edu
131,Dance Company at Georgia Tech,Production/Performance/Publication,https://orgsync.com/136041,https://cdn2.orgsync.com/images/os-profile-pics/f6e90a0d-69ac-49ec-ae2a-cbbfdd63306d.png?cover=1&s=100,136041,"DCGT offers weekly classes that focus on choreography for a variety of shows in and around the GT campus. We have offered dances in many styles including ballet, pointe, contemporary, lyrical, modern, hip-hop, tap, and jazz. Dancers of all levels are welcome to join our dance company!",Anyone who wishes to participate in a dance may attend the choreography rehearsals for the dances of their interest. Members are free to participate in as many or as few dances as they would like. Dances will be performed in a showcase towards the end of the semester. Members participating in our show are required to take our weekly technique class on Thursday nights. Attendance at other classes offered during the week is optional for members. Dues are $40 a semester for members participating in our show and go towards paying for performance space and costumes. Members may also choose to just take the weekly classes we offer. Dues are $20 for members just taking weekly classes and also assist with the cost of the performance. Attendance at all classes is optional for members not participating in the show.,"Sunday, Monday, Tuesday, Thursday, Saturday",
132,DanceTech,Production/Performance/Publication,https://orgsync.com/136137,https://cdn4.orgsync.com/images/os-profile-pics/1bti6armkgmnwxa_150.jpg?cover=1&s=100,136137,"DanceTech was founded in 2003 as Georgia Tech's leading multi-genre dance organization with weekly dance classes to offer. DanceTech hosts DanceTech Performing Company, a group that offers members the chance to perform on and off campus in philanthropy events throughout the year.","You can email us at infodancetech@gmail.com or message us on Facebook! We send emails about class times and events to all members on our list, so join today!","Sunday, Monday, Tuesday, Wednesday",http://gtdancetech.wix.com/gatech
133,Data Science at Georgia Tech,Professional/Departmental,https://orgsync.com/136370,https://cdn0.orgsync.com/images/os-profile-pics/19ymr31co3jhzyy_150.jpg?cover=1&s=100,136370,"Our motto is ""Data science with a focus on the community."" DSGT aims to create a community of data science students who are impassioned about giving back to their own communities. This is NOT a CS club! Our members have all sorts of backgrounds, and we firmly believe anyone can be a data scientist. We do three main activities as an organization: 
- A specialized data science curriculum to help new members learn data science quickly 
- Projects that are community-oriented 
- Special events & partnerships with other organizations to help spread the word! 
If you are looking for a club of like-minded individuals from a diverse background that is wholly community-centric, this is the club for you!","Members of DSGT will be Georgia Tech students who meet eligibility requirements for participation in extra-curricular activities as stated in the GT Catalog and SGA policies. Only Georgia Tech students can vote or hold office.
Associate members may be GT faculty, staff, or alumni, their spouses or domestic partners, and spouses or domestic partners of student members. Associate members may not vote or hold office.
There will be no maximum number of members.
Membership will take effect when an interested party signs the membership roster and pays all dues set for the semester.","Tuesday, Thursday",http://www.datasciencegt.org
134,Debate Team,Political,https://orgsync.com/147427,https://cdn2.orgsync.com/images/os-profile-pics/eow5luq7h2qaml6_150.jpg?cover=1&s=100,147427,The purpose of the Debate Team is to provide an open medium for students to debate political / social / and economic issues and to develop critical thinking / public speaking / and research skills.,Everyone interested in debate is welcome.,Friday,
135,Delta Chi,Interfraternity Council (IFC) Chapters,https://orgsync.com/136471,https://cdn3.orgsync.com/images/os-profile-pics/kyfx5363q8jjv5v_150.jpg?cover=1&s=100,136471,"The Delta Chi fraternity at Georgia Tech is a chapter that promotes excellence and inclusion through our brotherhood of diverse and unique fraternity men. The Georgia Tech chapter of Delta Chi was founded by a group of men looking for an alternative Greek experience from what was offered at the time of our inception. Our founding members believed every action should be based on four principles.  To this day, these principles determine the decisions we make as both a chapter and as individuals. These principles are that academics come first, that absolutely no hazing shall occur, that chivalry is not dead, and that friends are always welcome.",,Wednesday,http://www.gtdeltachi.com/
